news_headline,news_article,news_category,full_text,clean_text
OPPO launches the new F11 Pro with 48MP+5MP Dual Rear Camera,"The all-new OPPO F11 Pro enables users to capture low light moments with its AI Driven 48MP+5MP rear camera. It features Panoramic Screen Display and VOOC 3.0 taking the flash charging technology a step ahead. The smartphone is also powered by P70 chipset for faster, smarter and more robust performance.",technology,"OPPO launches the new F11 Pro with 48MP+5MP Dual Rear Camera. The all-new OPPO F11 Pro enables users to capture low light moments with its AI Driven 48MP+5MP rear camera. It features Panoramic Screen Display and VOOC 3.0 taking the flash charging technology a step ahead. The smartphone is also powered by P70 chipset for faster, smarter and more robust performance.",oppo launch new f11 pro 48mp5mp dual rear camera new oppo f11 pro enable user capture low light moment ai driven 48mp5mp rear camera feature panoramic screen display vooc 3 0 take flash charge technology step ahead smartphone also power p70 chipset faster smart robust performance
OnePlus March Madness campaign offers various deals on OnePlus 6T,"OnePlus announced the 'March Madness' campaign, as a part of which OnePlus 6T will be available with several offers across Amazon.in, OnePlus.in, Reliance Digital outlets, Croma outlets and OnePlus offline stores. The offers include no-cost EMI up to 6 months and ₹2000 discount on exchange among various others. Additionally, it will offer special giveaways in the form of accessories bundles.",technology,"OnePlus March Madness campaign offers various deals on OnePlus 6T. OnePlus announced the 'March Madness' campaign, as a part of which OnePlus 6T will be available with several offers across Amazon.in, OnePlus.in, Reliance Digital outlets, Croma outlets and OnePlus offline stores. The offers include no-cost EMI up to 6 months and ₹2000 discount on exchange among various others. Additionally, it will offer special giveaways in the form of accessories bundles.",oneplus march madness campaign offer various deal oneplus 6 oneplus announce march madness campaign part oneplus 6 available several offer across amazon oneplus reliance digital outlet croma outlet oneplus offline store offer include no cost emi 6 month 2000 discount exchange among various additionally offer special giveaway form accessory bundle
Google finds it paid men less than women for the same job,"Google in its own internal audit found the company was paying men working as Level 4 Software Engineers ""less discretionary funds than women"" in the same role in 2018. Google ended up paying $9.7 million in pay adjustments to 10,677 employees during the year, which included new employees. However, Google did not specify how many of these employees were men.",technology,"Google finds it paid men less than women for the same job. Google in its own internal audit found the company was paying men working as Level 4 Software Engineers ""less discretionary funds than women"" in the same role in 2018. Google ended up paying $9.7 million in pay adjustments to 10,677 employees during the year, which included new employees. However, Google did not specify how many of these employees were men.",google find pay man less woman job google internal audit find company pay man work level 4 software engineer less discretionary fund woman role 2018 google end pay 9 7 million pay adjustment 10677 employee year include new employee however google not specify many employee man
Donald Trump mistakenly calls Apple CEO Tim Cook 'Tim Apple',"US President Donald Trump mistakenly called Apple CEO Tim Cook 'Tim Apple' at a conference in the White House. In videos that surfaced online, Tim Cook, who is sitting next to Trump, can be seen nodding after Trump's mistake. ""You have really put a big investment in our country. We really appreciate it very much, Tim Apple,"" Trump said.",technology,"Donald Trump mistakenly calls Apple CEO Tim Cook 'Tim Apple'. US President Donald Trump mistakenly called Apple CEO Tim Cook 'Tim Apple' at a conference in the White House. In videos that surfaced online, Tim Cook, who is sitting next to Trump, can be seen nodding after Trump's mistake. ""You have really put a big investment in our country. We really appreciate it very much, Tim Apple,"" Trump said.",donald trump mistakenly call apple ceo tim cook tim apple us president donald trump mistakenly call apple ceo tim cook tim apple conference white house video surface online tim cook sit next trump see nod trump mistake really put big investment country really appreciate much tim apple trump say
Lego trolls foldable smartphones with its own foldable product,"Danish company Lego trolled foldable phones on Twitter with an image of its own foldable product, 'Lego Fold' captioned, ""For endless creative play that never runs out of battery"". Described as having a ""5-inch cover display [that] unfolds into...11-inch...storybook"", Lego Fold is Lego's 3D pop-up storybook product. Last month, companies including Samsung and Huawei unveiled foldable phones. ",technology,"Lego trolls foldable smartphones with its own foldable product. Danish company Lego trolled foldable phones on Twitter with an image of its own foldable product, 'Lego Fold' captioned, ""For endless creative play that never runs out of battery"". Described as having a ""5-inch cover display [that] unfolds into...11-inch...storybook"", Lego Fold is Lego's 3D pop-up storybook product. Last month, companies including Samsung and Huawei unveiled foldable phones. ",lego troll foldable smartphone foldable product danish company lego troll foldable phone twitter image foldable product lego fold captioned endless creative play never run battery describe 5inch cover display [ ] unfold 11inch storybook lego fold legos 3d pop storybook product last month company include samsung huawei unveil foldable phone
T-Series getting desperate: PewDiePie as they ask for subscribers,"Swedish YouTuber PewDiePie has responded after T-Series Chairman Bhushan Kumar asked for more YouTube subscribers to become the world's most subscribed to channel on the Google-owned platform. ""They are getting desperate"", PewDiePie replied to Kumar's ""We can make history. We can make India win"" tweet. Earlier, a PewDiePie fan hacked 50,000 printers, causing them to print ""help defeat T-Series"".",technology,"T-Series getting desperate: PewDiePie as they ask for subscribers. Swedish YouTuber PewDiePie has responded after T-Series Chairman Bhushan Kumar asked for more YouTube subscribers to become the world's most subscribed to channel on the Google-owned platform. ""They are getting desperate"", PewDiePie replied to Kumar's ""We can make history. We can make India win"" tweet. Earlier, a PewDiePie fan hacked 50,000 printers, causing them to print ""help defeat T-Series"".",series get desperate pewdiepie ask subscriber swedish youtuber pewdiepie respond series chairman bhushan kumar ask youtube subscriber become world subscribe channel google platform get desperate pewdiepie reply kumar make history make india win tweet earlier pewdiepie fan hack 50000 printer cause print help defeat series
Japan startup develops software to spot shoplifters before they steal,"Japanese startup Vaak has developed a software which can spot potential shoplifters even before they steal any item from a store. The software uses footage from the security cameras for fidgeting, restlessness and other potentially suspicious body language of people. The software analyses the security-camera footage and alerts the store's staff about potential thieves via a smartphone app.",technology,"Japan startup develops software to spot shoplifters before they steal. Japanese startup Vaak has developed a software which can spot potential shoplifters even before they steal any item from a store. The software uses footage from the security cameras for fidgeting, restlessness and other potentially suspicious body language of people. The software analyses the security-camera footage and alerts the store's staff about potential thieves via a smartphone app.",japan startup develop software spot shoplifter steal japanese startup vaak develop software spot potential shoplifter even steal item store software use footage security camera fidget restlessness potentially suspicious body language people software analyse security camera footage alert store staff potential thief via smartphone app
FB apologises over staff comments on Pulwama attack: Report,"Facebook Global Policy Head has reportedly apologised to BJP MP Anurag Thakur-led Parliamentary Panel over its employees' comments on the Pulwama attack. Facebook also failed to clearly answer which regulatory framework applies to its content. ""Indian elections, national security, protecting citizens' data is our top priority...send clear written replies in 10 days,"" the panel reportedly said.",technology,"FB apologises over staff comments on Pulwama attack: Report. Facebook Global Policy Head has reportedly apologised to BJP MP Anurag Thakur-led Parliamentary Panel over its employees' comments on the Pulwama attack. Facebook also failed to clearly answer which regulatory framework applies to its content. ""Indian elections, national security, protecting citizens' data is our top priority...send clear written replies in 10 days,"" the panel reportedly said.",fb apologis staff comment pulwama attack report facebook global policy head reportedly apologise bjp mp anurag thakur lead parliamentary panel employee comment pulwama attack facebook also fail clearly answer regulatory framework apply content indian election national security protect citizen datum top priority send clear write reply 10 day panel reportedly say
WebAuthn becomes standard for password-free web logins,"Web Authentication (WebAuthn), that lets users login to their internet accounts using their preferred device, biometrics or FIDO security keys, has become an official web standard for logins. WebAuthn is already supported in browsers including Google Chrome. ""Now is the time for web services...to adopt WebAuthn to move beyond vulnerable passwords,"" World Wide Consortium (W3C) CEO Jeff Jaffe said.",technology,"WebAuthn becomes standard for password-free web logins. Web Authentication (WebAuthn), that lets users login to their internet accounts using their preferred device, biometrics or FIDO security keys, has become an official web standard for logins. WebAuthn is already supported in browsers including Google Chrome. ""Now is the time for web services...to adopt WebAuthn to move beyond vulnerable passwords,"" World Wide Consortium (W3C) CEO Jeff Jaffe said.",webauthn become standard password free web login web authentication webauthn let user login internet account use preferred device biometric fido security key become official web standard login webauthn already support browser include google chrome time web service adopt webauthn move beyond vulnerable password world wide consortium w3c ceo jeff jaffe say
400-year-old Japan temple unveils robot avatar of Buddhist Goddess,"A 400-year-old Kyoto-based temple has unveiled a robotic avatar of the Buddhist Goddess of Mercy, Kannon, in an attempt to keep the younger generation connected with Buddhism. Named 'Mindar', the robot can join its hands and move its eyes and torso while delivering 25-minute-long sermons to worshippers. The robot designers said the avatar has been made in a gender-neutral form.",technology,"400-year-old Japan temple unveils robot avatar of Buddhist Goddess. A 400-year-old Kyoto-based temple has unveiled a robotic avatar of the Buddhist Goddess of Mercy, Kannon, in an attempt to keep the younger generation connected with Buddhism. Named 'Mindar', the robot can join its hands and move its eyes and torso while delivering 25-minute-long sermons to worshippers. The robot designers said the avatar has been made in a gender-neutral form.",400year old japan temple unveil robot avatar buddhist goddess 400year old kyoto base temple unveil robotic avatar buddhist goddess mercy kannon attempt keep young generation connect buddhism name mindar robot join hand move eye torso deliver 25minute long sermon worshipper robot designer say avatar make gender neutral form
