news_headline,news_article,news_category,full_text,clean_text,chunked_text
OPPO launches the new F11 Pro with 48MP+5MP Dual Rear Camera,"The all-new OPPO F11 Pro enables users to capture low light moments with its AI Driven 48MP+5MP rear camera. It features Panoramic Screen Display and VOOC 3.0 taking the flash charging technology a step ahead. The smartphone is also powered by P70 chipset for faster, smarter and more robust performance.",technology,"OPPO launches the new F11 Pro with 48MP+5MP Dual Rear Camera. The all-new OPPO F11 Pro enables users to capture low light moments with its AI Driven 48MP+5MP rear camera. It features Panoramic Screen Display and VOOC 3.0 taking the flash charging technology a step ahead. The smartphone is also powered by P70 chipset for faster, smarter and more robust performance.",oppo launch new f11 pro 48mp5mp dual rear camera new oppo f11 pro enable user capture low light moment ai driven 48mp5mp rear camera feature panoramic screen display vooc 3 0 take flash charge technology step ahead smartphone also power p70 chipset faster smart robust performance,"(S
  (NP OPPO/NNP)
  (VP launches/VBZ)
  (NP
    new/JJ
    F11/NNP
    Pro/NNP
    48MP+5MP/CD
    Dual/NNP
    Rear/NNP
    Camera./NNP
    all-new/JJ
    OPPO/NNP
    F11/NNP
    Pro/NNP)
  (VP enables/VBZ)
  (NP users/NNS)
  (VP capture/VBP)
  (NP
    low/JJ
    light/JJ
    moments/NNS
    AI/NNP
    Driven/NNP
    48MP+5MP/CD
    rear/NN
    camera./NN
    features/NNS
    Panoramic/NNP
    Screen/NNP
    Display/NNP
    VOOC/NNP
    3.0/CD)
  (VP taking/VBG)
  (NP flash/JJ charging/VBG technology/NN step/NN)
  (VP ahead./VBP)
  (NP smartphone/NN)
  also/RB
  (VP powered/VBD)
  (NP P70/NNP chipset/NN)
  faster/RBR
  ,/,
  smarter/RBR
  (NP robust/JJ performance/NN)
  ./.)"
OnePlus March Madness campaign offers various deals on OnePlus 6T,"OnePlus announced the 'March Madness' campaign, as a part of which OnePlus 6T will be available with several offers across Amazon.in, OnePlus.in, Reliance Digital outlets, Croma outlets and OnePlus offline stores. The offers include no-cost EMI up to 6 months and ₹2000 discount on exchange among various others. Additionally, it will offer special giveaways in the form of accessories bundles.",technology,"OnePlus March Madness campaign offers various deals on OnePlus 6T. OnePlus announced the 'March Madness' campaign, as a part of which OnePlus 6T will be available with several offers across Amazon.in, OnePlus.in, Reliance Digital outlets, Croma outlets and OnePlus offline stores. The offers include no-cost EMI up to 6 months and ₹2000 discount on exchange among various others. Additionally, it will offer special giveaways in the form of accessories bundles.",oneplus march madness campaign offer various deal oneplus 6 oneplus announce march madness campaign part oneplus 6 available several offer across amazon oneplus reliance digital outlet croma outlet oneplus offline store offer include no cost emi 6 month 2000 discount exchange among various additionally offer special giveaway form accessory bundle,"(S
  OnePlus/CC
  (NP March/NNP Madness/NNP campaign/NN)
  (VP offers/VBZ)
  (NP various/JJ deals/NNS)
  OnePlus/CC
  (NP 6T./CD OnePlus/NN)
  (VP announced/VBD)
  (NP March/NNP Madness/NNP campaign/NN)
  ,/,
  (NP part/NN OnePlus/NNP 6T/CD available/JJ several/JJ offers/NNS)
  (PP across/IN)
  (NP Amazon.in/NNP)
  ,/,
  (NP OnePlus.in/NNP)
  ,/,
  (NP Reliance/NNP Digital/NNP outlets/NNS)
  ,/,
  (NP Croma/NNP)
  (VP outlets/VBZ)
  (NP OnePlus/NNP offline/NN stores./NN offers/NNS)
  (VP include/VBP)
  (NP
    no-cost/JJ
    EMI/NNP
    6/CD
    months/NNS
    2000/CD
    discount/NN
    exchange/NN)
  (PP among/IN)
  (NP various/JJ others./NNS)
  Additionally/RB
  ,/,
  (VP offer/VBP)
  (NP special/JJ giveaways/NNS form/NN accessories/NNS bundles/NNS)
  ./.)"
Google finds it paid men less than women for the same job,"Google in its own internal audit found the company was paying men working as Level 4 Software Engineers ""less discretionary funds than women"" in the same role in 2018. Google ended up paying $9.7 million in pay adjustments to 10,677 employees during the year, which included new employees. However, Google did not specify how many of these employees were men.",technology,"Google finds it paid men less than women for the same job. Google in its own internal audit found the company was paying men working as Level 4 Software Engineers ""less discretionary funds than women"" in the same role in 2018. Google ended up paying $9.7 million in pay adjustments to 10,677 employees during the year, which included new employees. However, Google did not specify how many of these employees were men.",google find pay man less woman job google internal audit find company pay man work level 4 software engineer less discretionary fund woman role 2018 google end pay 9 7 million pay adjustment 10677 employee year include new employee however google not specify many employee man,"(S
  (NP Google/NNP)
  (VP finds/VBZ paid/VBN)
  (NP men/NNS less/RBR women/NNS)
  (VP job./VBP)
  (NP Google/NNP internal/JJ audit/NN)
  (VP found/VBD)
  (NP company/NN paying/VBG men/NNS)
  (VP working/VBG)
  (NP Level/NNP 4/CD Software/NNP Engineers/NNPS ""/NNP)
  less/CC
  (NP discretionary/JJ funds/NNS women/NNS)
  (VP ""/VBP)
  (NP role/NN 2018./CD Google/NNP)
  (VP ended/VBD paying/VBG)
  (NP
    $/$
    9.7/CD
    million/CD
    pay/NN
    adjustments/NNS
    10,677/CD
    employees/NNS
    year/NN)
  ,/,
  (VP included/VBD)
  (NP new/JJ employees./NN)
  However/RB
  ,/,
  (NP Google/NNP)
  not/RB
  (VP specify/VB)
  (NP many/JJ employees/NNS men/NNS)
  ./.)"
Donald Trump mistakenly calls Apple CEO Tim Cook 'Tim Apple',"US President Donald Trump mistakenly called Apple CEO Tim Cook 'Tim Apple' at a conference in the White House. In videos that surfaced online, Tim Cook, who is sitting next to Trump, can be seen nodding after Trump's mistake. ""You have really put a big investment in our country. We really appreciate it very much, Tim Apple,"" Trump said.",technology,"Donald Trump mistakenly calls Apple CEO Tim Cook 'Tim Apple'. US President Donald Trump mistakenly called Apple CEO Tim Cook 'Tim Apple' at a conference in the White House. In videos that surfaced online, Tim Cook, who is sitting next to Trump, can be seen nodding after Trump's mistake. ""You have really put a big investment in our country. We really appreciate it very much, Tim Apple,"" Trump said.",donald trump mistakenly call apple ceo tim cook tim apple us president donald trump mistakenly call apple ceo tim cook tim apple conference white house video surface online tim cook sit next trump see nod trump mistake really put big investment country really appreciate much tim apple trump say,"(S
  (NP Donald/NNP Trump/NNP)
  mistakenly/RB
  (VP calls/VBZ)
  (NP
    Apple/NNP
    CEO/NNP
    Tim/NNP
    Cook/NNP
    Tim/NNP
    Apple./NNP
    US/NNP
    President/NNP
    Donald/NNP
    Trump/NNP)
  mistakenly/RB
  (VP called/VBD)
  (NP
    Apple/NNP
    CEO/NNP
    Tim/NNP
    Cook/NNP
    Tim/NNP
    Apple/NNP
    conference/NN
    White/NNP
    House./NNP
    videos/NN)
  (VP surfaced/VBD)
  (NP online/NN)
  ,/,
  (NP Tim/NNP Cook/NNP)
  ,/,
  (VP sitting/VBG)
  (NP next/JJ Trump/NNP)
  ,/,
  (VP seen/VBN nodding/VBG)
  (NP Trumps/NNP mistake./NN ""/NNP)
  really/RB
  (VP put/VBD)
  (NP big/JJ investment/NN country./NN)
  really/RB
  (NP appreciate/JJ)
  much/RB
  ,/,
  (NP Tim/NNP Apple/NNP)
  ,/,
  (NP ""/NNP Trump/NNP)
  (VP said/VBD)
  ./.)"
Lego trolls foldable smartphones with its own foldable product,"Danish company Lego trolled foldable phones on Twitter with an image of its own foldable product, 'Lego Fold' captioned, ""For endless creative play that never runs out of battery"". Described as having a ""5-inch cover display [that] unfolds into...11-inch...storybook"", Lego Fold is Lego's 3D pop-up storybook product. Last month, companies including Samsung and Huawei unveiled foldable phones. ",technology,"Lego trolls foldable smartphones with its own foldable product. Danish company Lego trolled foldable phones on Twitter with an image of its own foldable product, 'Lego Fold' captioned, ""For endless creative play that never runs out of battery"". Described as having a ""5-inch cover display [that] unfolds into...11-inch...storybook"", Lego Fold is Lego's 3D pop-up storybook product. Last month, companies including Samsung and Huawei unveiled foldable phones. ",lego troll foldable smartphone foldable product danish company lego troll foldable phone twitter image foldable product lego fold captioned endless creative play never run battery describe 5inch cover display [ ] unfold 11inch storybook lego fold legos 3d pop storybook product last month company include samsung huawei unveil foldable phone,"(S
  (NP Lego/NNP)
  (VP trolls/VBZ)
  (NP
    foldable/JJ
    smartphones/NNS
    foldable/JJ
    product./JJ
    Danish/JJ
    company/NN
    Lego/NNP)
  (VP trolled/VBD)
  (NP
    foldable/JJ
    phones/NNS
    Twitter/NNP
    image/NN
    foldable/JJ
    product/NN)
  ,/,
  (NP Lego/NNP Fold/NNP)
  (VP captioned/VBD)
  ,/,
  (NP ""/NNP)
  endless/RB
  (NP creative/JJ play/NN)
  never/RB
  (VP runs/VBZ)
  (NP battery/NN ""/NN)
  ./.
  (NP
    Described/NNP
    ""/JJ
    5-inch/JJ
    cover/NN
    display/NN
    [/NNP
    ]/NNP
    unfolds/NNS)
  .../:
  (NP 11-inch/JJ)
  .../:
  (NP storybook/NN ""/NN)
  ,/,
  (NP
    Lego/NNP
    Fold/NNP
    Legos/NNP
    3D/CD
    pop-up/JJ
    storybook/NN
    product./NN
    Last/JJ
    month/NN)
  ,/,
  (NP companies/NNS including/VBG Samsung/NNP Huawei/NNP)
  (VP unveiled/VBD)
  (NP foldable/JJ phones./NN))"
T-Series getting desperate: PewDiePie as they ask for subscribers,"Swedish YouTuber PewDiePie has responded after T-Series Chairman Bhushan Kumar asked for more YouTube subscribers to become the world's most subscribed to channel on the Google-owned platform. ""They are getting desperate"", PewDiePie replied to Kumar's ""We can make history. We can make India win"" tweet. Earlier, a PewDiePie fan hacked 50,000 printers, causing them to print ""help defeat T-Series"".",technology,"T-Series getting desperate: PewDiePie as they ask for subscribers. Swedish YouTuber PewDiePie has responded after T-Series Chairman Bhushan Kumar asked for more YouTube subscribers to become the world's most subscribed to channel on the Google-owned platform. ""They are getting desperate"", PewDiePie replied to Kumar's ""We can make history. We can make India win"" tweet. Earlier, a PewDiePie fan hacked 50,000 printers, causing them to print ""help defeat T-Series"".",series get desperate pewdiepie ask subscriber swedish youtuber pewdiepie respond series chairman bhushan kumar ask youtube subscriber become world subscribe channel google platform get desperate pewdiepie reply kumar make history make india win tweet earlier pewdiepie fan hack 50000 printer cause print help defeat series,"(S
  (NP T-Series/NNS getting/VBG desperate/NN)
  :/:
  (NP PewDiePie/NNP)
  (VP ask/VB)
  (NP subscribers./JJ Swedish/JJ YouTuber/NNP PewDiePie/NNP)
  (VP responded/VBD)
  (NP T-Series/NNP Chairman/NNP Bhushan/NNP Kumar/NNP)
  (VP asked/VBD)
  (NP YouTube/NNP subscribers/NNS)
  (VP become/VBP)
  (NP
    worlds/NNS
    subscribed/JJ
    channel/NNS
    Google-owned/JJ
    platform./NN
    ""/NNP)
  (VP getting/VBG)
  (NP desperate/JJ ""/NNS)
  ,/,
  (NP PewDiePie/NNP)
  (VP replied/VBD)
  (NP Kumars/NNP ""/NNP)
  (VP make/VBP)
  (NP history./JJ)
  (VP make/VB)
  (NP India/NNP)
  (VP win/VB)
  (NP ""/NNP tweet./NN Earlier/NNP)
  ,/,
  (NP PewDiePie/NNP fan/NN)
  (VP hacked/VBD)
  (NP 50,000/CD printers/NNS)
  ,/,
  (VP causing/VBG)
  (NP print/NN ""/NN help/NN)
  (VP defeat/VB)
  (NP T-Series/NNS ""/NNP)
  ./.)"
Japan startup develops software to spot shoplifters before they steal,"Japanese startup Vaak has developed a software which can spot potential shoplifters even before they steal any item from a store. The software uses footage from the security cameras for fidgeting, restlessness and other potentially suspicious body language of people. The software analyses the security-camera footage and alerts the store's staff about potential thieves via a smartphone app.",technology,"Japan startup develops software to spot shoplifters before they steal. Japanese startup Vaak has developed a software which can spot potential shoplifters even before they steal any item from a store. The software uses footage from the security cameras for fidgeting, restlessness and other potentially suspicious body language of people. The software analyses the security-camera footage and alerts the store's staff about potential thieves via a smartphone app.",japan startup develop software spot shoplifter steal japanese startup vaak develop software spot potential shoplifter even steal item store software use footage security camera fidget restlessness potentially suspicious body language people software analyse security camera footage alert store staff potential thief via smartphone app,"(S
  (NP Japan/NNP startup/NN)
  (VP develops/VBZ)
  (NP software/NN spot/NN shoplifters/NNS)
  (VP steal./VBP)
  (NP Japanese/JJ startup/NN Vaak/NNP)
  (VP developed/VBD)
  (NP software/NN spot/NN potential/JJ shoplifters/NNS)
  even/RB
  (VP steal/VBP)
  (NP item/NN store./NN software/NN)
  (VP uses/VBZ)
  (NP footage/JJ security/NN cameras/NNS)
  (VP fidgeting/VBG)
  ,/,
  (NP restlessness/NN)
  potentially/RB
  (NP suspicious/JJ body/NN language/NN people./NN software/NN)
  (VP analyses/VBZ)
  (NP
    security-camera/JJ
    footage/NN
    alerts/NNS
    stores/NNS
    staff/NN
    potential/JJ
    thieves/NNS)
  (PP via/IN)
  (NP smartphone/NN app/NN)
  ./.)"
FB apologises over staff comments on Pulwama attack: Report,"Facebook Global Policy Head has reportedly apologised to BJP MP Anurag Thakur-led Parliamentary Panel over its employees' comments on the Pulwama attack. Facebook also failed to clearly answer which regulatory framework applies to its content. ""Indian elections, national security, protecting citizens' data is our top priority...send clear written replies in 10 days,"" the panel reportedly said.",technology,"FB apologises over staff comments on Pulwama attack: Report. Facebook Global Policy Head has reportedly apologised to BJP MP Anurag Thakur-led Parliamentary Panel over its employees' comments on the Pulwama attack. Facebook also failed to clearly answer which regulatory framework applies to its content. ""Indian elections, national security, protecting citizens' data is our top priority...send clear written replies in 10 days,"" the panel reportedly said.",fb apologis staff comment pulwama attack report facebook global policy head reportedly apologise bjp mp anurag thakur lead parliamentary panel employee comment pulwama attack facebook also fail clearly answer regulatory framework apply content indian election national security protect citizen datum top priority send clear write reply 10 day panel reportedly say,"(S
  (NP FB/NNP)
  (VP apologises/VBZ)
  (NP staff/NN comments/NNS Pulwama/NNP attack/NN)
  :/:
  (NP Report./NNP Facebook/NNP Global/NNP Policy/NNP Head/NNP)
  reportedly/RB
  (VP apologised/VBD)
  (NP
    BJP/NNP
    MP/NNP
    Anurag/NNP
    Thakur-led/JJ
    Parliamentary/NNP
    Panel/NNP
    employees/NNS
    comments/NNS
    Pulwama/NNP
    attack./NN
    Facebook/NNP)
  also/RB
  (VP failed/VBD clearly/RB)
  (NP answer/JJR regulatory/JJ framework/NN applies/NNS)
  (VP content./VBP)
  (NP ""/JJ Indian/JJ elections/NNS)
  ,/,
  (NP national/JJ security/NN)
  ,/,
  (VP protecting/VBG)
  (NP citizens/NNS data/NNS top/JJ priority/NN)
  .../:
  (VP send/VBP)
  (NP clear/JJ written/VBN replies/NNS 10/CD days/NNS)
  ,/,
  (NP ""/JJ panel/NN)
  reportedly/RB
  (VP said/VBD)
  ./.)"
WebAuthn becomes standard for password-free web logins,"Web Authentication (WebAuthn), that lets users login to their internet accounts using their preferred device, biometrics or FIDO security keys, has become an official web standard for logins. WebAuthn is already supported in browsers including Google Chrome. ""Now is the time for web services...to adopt WebAuthn to move beyond vulnerable passwords,"" World Wide Consortium (W3C) CEO Jeff Jaffe said.",technology,"WebAuthn becomes standard for password-free web logins. Web Authentication (WebAuthn), that lets users login to their internet accounts using their preferred device, biometrics or FIDO security keys, has become an official web standard for logins. WebAuthn is already supported in browsers including Google Chrome. ""Now is the time for web services...to adopt WebAuthn to move beyond vulnerable passwords,"" World Wide Consortium (W3C) CEO Jeff Jaffe said.",webauthn become standard password free web login web authentication webauthn let user login internet account use preferred device biometric fido security key become official web standard login webauthn already support browser include google chrome time web service adopt webauthn move beyond vulnerable password world wide consortium w3c ceo jeff jaffe say,"(S
  (NP WebAuthn/NNP)
  (VP becomes/VBZ)
  (NP
    standard/JJ
    password-free/JJ
    web/NN
    logins./NN
    Web/NNP
    Authentication/NNP)
  (/(
  (NP WebAuthn/NNP)
  )/)
  ,/,
  (VP lets/VBZ)
  (NP users/NNS login/JJ internet/JJ accounts/NNS)
  (VP using/VBG)
  (NP preferred/JJ device/NN)
  ,/,
  (NP biometrics/NNS FIDO/NNP security/NN keys/NN)
  ,/,
  (VP become/VBP)
  (NP official/JJ web/JJ standard/NN logins./NN WebAuthn/NNP)
  already/RB
  (VP supported/VBD)
  (NP
    browsers/NNS
    including/VBG
    Google/NNP
    Chrome./NNP
    ""/NNP
    time/NN
    web/NN
    services/NNS)
  .../:
  (VP adopt/VBZ)
  (NP WebAuthn/NNP move/NN)
  (PP beyond/IN)
  (NP vulnerable/JJ passwords/NNS)
  ,/,
  (NP ""/NNP World/NNP Wide/NNP Consortium/NNP)
  (/(
  (NP W3C/NNP)
  )/)
  (NP CEO/NNP Jeff/NNP Jaffe/NNP)
  (VP said/VBD)
  ./.)"
400-year-old Japan temple unveils robot avatar of Buddhist Goddess,"A 400-year-old Kyoto-based temple has unveiled a robotic avatar of the Buddhist Goddess of Mercy, Kannon, in an attempt to keep the younger generation connected with Buddhism. Named 'Mindar', the robot can join its hands and move its eyes and torso while delivering 25-minute-long sermons to worshippers. The robot designers said the avatar has been made in a gender-neutral form.",technology,"400-year-old Japan temple unveils robot avatar of Buddhist Goddess. A 400-year-old Kyoto-based temple has unveiled a robotic avatar of the Buddhist Goddess of Mercy, Kannon, in an attempt to keep the younger generation connected with Buddhism. Named 'Mindar', the robot can join its hands and move its eyes and torso while delivering 25-minute-long sermons to worshippers. The robot designers said the avatar has been made in a gender-neutral form.",400year old japan temple unveil robot avatar buddhist goddess 400year old kyoto base temple unveil robotic avatar buddhist goddess mercy kannon attempt keep young generation connect buddhism name mindar robot join hand move eye torso deliver 25minute long sermon worshipper robot designer say avatar make gender neutral form,"(S
  (NP 400-year-old/JJ Japan/NNP temple/NN unveils/NNS)
  (VP robot/VBP)
  (NP
    avatar/JJ
    Buddhist/NNP
    Goddess./NNP
    400-year-old/JJ
    Kyoto-based/JJ
    temple/NN)
  (VP unveiled/VBD)
  (NP robotic/JJ avatar/NN Buddhist/NNP Goddess/NNP Mercy/NNP)
  ,/,
  (NP Kannon/NNP)
  ,/,
  (NP attempt/NN)
  (VP keep/VB)
  (NP younger/JJR generation/NN)
  (VP connected/VBD)
  (NP Buddhism./NNP Named/NNP Mindar/NNP)
  ,/,
  (NP robot/NN join/NN hands/NNS)
  (VP move/VBP)
  (NP eyes/NNS)
  (PP torso/IN)
  (VP delivering/VBG)
  (NP 25-minute-long/JJ sermons/NNS)
  (VP worshippers./VBP)
  (NP robot/NN designers/NNS)
  (VP said/VBD)
  (NP avatar/NN)
  (VP made/VBD)
  (NP gender-neutral/JJ form/NN)
  ./.)"
