Entity Name,Entity Type,Frequency
India,GPE,28
US,GPE,27
Pakistan,GPE,24
Wednesday,DATE,12
Google,ORG,12
first,ORDINAL,11
Apple,ORG,10
Australia,GPE,8
Indian,NORP,7
Ranchi,GPE,7
Dhoni,PERSON,6
second,ORDINAL,6
MS Dhoni,PERSON,6
Facebook,ORG,6
Team India,ORG,6
Thursday,DATE,5
Tuesday,DATE,5
Chinese,NORP,5
China,GPE,5
Pak,GPE,5
South Africa,GPE,5
Samsung,ORG,4
Venezuela,GPE,4
Jaish - e - Mohammed,PERSON,4
JeM,ORG,4
Kohli,PERSON,4
North Korea,GPE,4
Huawei,ORG,4
Trump,ORG,4
one,CARDINAL,4
Tim Cook ' Tim Apple ',PERSON,4
Bolo,ORG,4
Donald Trump,PERSON,4
Shah Mahmood Qureshi,PERSON,3
Harman,ORG,3
Russia,GPE,3
Japan,GPE,3
Alphabet,ORG,3
Iniyan,PERSON,3
Virat Kohli,PERSON,3
Lehmann,PERSON,3
Delhi,GPE,3
Quinton de Kock,PERSON,3
Turkey,GPE,3
English,LANGUAGE,3
Gavaskar,PERSON,3
Mumbai,GPE,3
Friday,DATE,3
Pakistani,NORP,3
Lego,ORG,3
Pulwama,ORG,2
Porto,PERSON,2
Qureshi,PERSON,2
PewDiePie,PERSON,2
Ravi Shastri,PERSON,2
Afghan,NORP,2
Richards,PERSON,2
Ritika,ORG,2
Rohit,PERSON,2
Duolingo,ORG,2
Roma,GPE,2
83,CARDINAL,2
Saudi,NORP,2
Android TV,ORG,2
77,CARDINAL,2
25-minute - long,TIME,2
South China Sea,LOC,2
Sri Lanka,GPE,2
Sunil Gavaskar,PERSON,2
133,CARDINAL,2
121,CARDINAL,2
Thai,NORP,2
Thailand,GPE,2
"10,000",CARDINAL,2
$ 35 billion,MONEY,2
Android,ORG,2
Mindar,ORG,2
Australian,NORP,2
BMW,ORG,2
Du Plessis,ORG,2
Faf du Plessis,PERSON,2
Gautam Gambhir,PERSON,2
German,NORP,2
Glenn Maxwell,PERSON,2
Google India,ORG,2
ICC,GPE,2
Champions League,ORG,2
Buddhist Goddess,LOC,2
Buddhism,GPE,2
Instagram,ORG,2
Bhabhiji,NORP,2
Kailash Gahlot,PERSON,2
Tim Apple,PERSON,2
Kashmiri,PERSON,2
Bangladesh,GPE,2
Kyoto,GPE,2
Lucknow,GPE,2
MIT,ORG,2
MMA,ORG,2
MS Dhoni ',PERSON,2
Maduro,GPE,2
Malaysia,GPE,2
Malaysian,NORP,2
Mark Zuckerberg,PERSON,2
Maxwell,ORG,2
Miller,PERSON,2
Monday,DATE,2
Musharraf,GPE,2
Kannon,PERSON,2
#,CARDINAL,2
Tim Cook,PERSON,2
macOS,ORG,2
the White House,FAC,2
the Buddhist Goddess of Mercy,ORG,2
seven,CARDINAL,2
WebAuthn,ORG,2
second India,GPE,2
third,ORDINAL,2
Viv Richards,PERSON,2
annual,DATE,2
United,ORG,2
UN,ORG,2
two,CARDINAL,2
evening,TIME,2
Venezuelan,NORP,2
last year,DATE,2
Trump 's,ORG,2
last night,TIME,2
iPad,ORG,2
hundreds,CARDINAL,2
less than 50 %,PERCENT,1
Constitutional Court,ORG,1
Charles Babbage,PERSON,1
Google Photos,ORG,1
second ODI,EVENT,1
Chinese Foreign Ministry,ORG,1
CoA,ORG,1
Committee of Administrators,ORG,1
Croma,ORG,1
Google Home,ORG,1
CRPF,ORG,1
Daniel Kriener,PERSON,1
Google Chrome,ORG,1
Daniel Vettori,PERSON,1
Danish,NORP,1
Darren Lehmann,PERSON,1
Datuk Mohamaddin Ketapi,PERSON,1
Canada,GPE,1
CL,ORG,1
COA,ORG,1
the Brazilian Carnival,ORG,1
BJP,ORG,1
